epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,8452.64,1.35786,0.61454,1.21187,0.92675,0.9419,0.96979,0.53798,1.61937,0.57937,1.33131,0.00028723,0.00028723,0.00028723
131,8517.17,1.35633,0.61589,1.22067,0.92875,0.94847,0.97442,0.55581,1.5755,0.58339,1.30971,0.000280275,0.000280275,0.000280275
132,8582.66,1.39571,0.62246,1.241,0.93794,0.95262,0.97988,0.57541,1.49955,0.56079,1.26418,0.000273375,0.000273375,0.000273375
133,8648.12,1.36939,0.60112,1.22626,0.93579,0.95093,0.97917,0.59494,1.45171,0.56208,1.24437,0.000266532,0.000266532,0.000266532
134,8712.69,1.36532,0.61886,1.2469,0.93172,0.93401,0.97213,0.55359,1.55896,0.58401,1.30013,0.000259748,0.000259748,0.000259748
135,8777.27,1.35774,0.6154,1.22585,0.92032,0.95262,0.97393,0.56926,1.52542,0.57262,1.27842,0.000253024,0.000253024,0.000253024
136,8949.74,1.34715,0.58861,1.21877,0.93701,0.94416,0.97483,0.57747,1.50502,0.57139,1.26906,0.000246363,0.000246363,0.000246363
137,9150.11,1.3382,0.60747,1.21638,0.92802,0.94585,0.97384,0.56535,1.53233,0.57322,1.28352,0.000239766,0.000239766,0.000239766
138,9350.46,1.35104,0.59543,1.23069,0.93145,0.93739,0.97402,0.57824,1.47629,0.56095,1.25701,0.000233234,0.000233234,0.000233234
139,9550.81,1.33719,0.60308,1.2299,0.92986,0.93232,0.97142,0.58085,1.46646,0.55959,1.25408,0.000226769,0.000226769,0.000226769
140,9661.93,1.33999,0.6071,1.21291,0.93716,0.93373,0.97551,0.58818,1.45678,0.55954,1.25299,0.000220372,0.000220372,0.000220372
141,9726.82,1.36406,0.61955,1.2284,0.93228,0.9357,0.97584,0.59644,1.44616,0.55672,1.24898,0.000214046,0.000214046,0.000214046
142,9792.28,1.33968,0.60114,1.21088,0.93314,0.94457,0.97722,0.58137,1.48874,0.5557,1.26507,0.000207792,0.000207792,0.000207792
143,9857.5,1.35464,0.61116,1.22387,0.93781,0.94416,0.97893,0.58568,1.47601,0.55695,1.26071,0.000201611,0.000201611,0.000201611
144,9922.95,1.33415,0.58919,1.23081,0.93489,0.9475,0.97806,0.59245,1.45054,0.55649,1.24388,0.000195505,0.000195505,0.000195505
145,9988.49,1.33359,0.60083,1.20898,0.92978,0.94247,0.97548,0.58199,1.46753,0.57017,1.25327,0.000189475,0.000189475,0.000189475
146,10054.5,1.31339,0.59562,1.2115,0.93439,0.94078,0.97743,0.57317,1.50978,0.57042,1.27532,0.000183523,0.000183523,0.000183523
147,10120.1,1.31724,0.59583,1.20483,0.9294,0.94755,0.9786,0.57239,1.5031,0.55976,1.27483,0.000177651,0.000177651,0.000177651
148,10185.9,1.35172,0.6107,1.23413,0.92278,0.95037,0.97848,0.59193,1.46532,0.55789,1.25221,0.000171859,0.000171859,0.000171859
149,10252.2,1.34508,0.59583,1.20491,0.93661,0.93232,0.97574,0.56064,1.54976,0.57739,1.29815,0.000166149,0.000166149,0.000166149
150,10317.6,1.31985,0.59896,1.20867,0.93472,0.94491,0.9785,0.57361,1.5227,0.56224,1.28319,0.000160523,0.000160523,0.000160523
151,10382.3,1.33713,0.62711,1.21939,0.91426,0.95601,0.97724,0.58475,1.47566,0.55866,1.25898,0.000154982,0.000154982,0.000154982
152,10447,1.31179,0.59622,1.19409,0.92207,0.95262,0.97709,0.59104,1.47292,0.56143,1.25418,0.000149527,0.000149527,0.000149527
153,10511.6,1.33537,0.59825,1.22601,0.92449,0.9577,0.97755,0.58285,1.48554,0.55966,1.26081,0.000144161,0.000144161,0.000144161
154,10576,1.33719,0.59205,1.22237,0.92772,0.95556,0.97928,0.59105,1.4671,0.55053,1.24892,0.000138883,0.000138883,0.000138883
155,10640.3,1.32908,0.58175,1.20662,0.92996,0.94356,0.97895,0.58053,1.4974,0.56876,1.27147,0.000133695,0.000133695,0.000133695
156,10704.6,1.32273,0.5889,1.20529,0.92447,0.95265,0.97814,0.58041,1.49213,0.55121,1.26222,0.000128599,0.000128599,0.000128599
157,10768.8,1.3106,0.58446,1.20105,0.91752,0.95993,0.97664,0.57727,1.50065,0.56804,1.26919,0.000123596,0.000123596,0.000123596
